,ARIMA,Linear,LSTM,Transformer
1,0.0604,0.181958243,0.410881042,0.296727424
10,0.0604,0.314173013,0.158882692,0.151867017
20,0.0604,0.20587644,0.137372732,0.138382721
30,0.0604,0.144022092,0.112947755,0.137705729
40,0.0604,0.128021315,0.107182607,0.128542327
50,0.0604,0.121824287,0.1036826,0.138468865
60,0.0604,0.119285874,0.116573781,0.124610233
70,0.0604,0.119621813,0.119903699,0.127659239
80,0.0604,0.119459063,0.114394516,0.125698616
90,0.0604,0.117373392,0.100130126,0.12364524
